"Total Residential Sales In And Out Of Priority Funding Areas For Maryland's Jurisdictions, 2017-2024",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Total Sales,,,,,,,,INPFA,,,,,,,,OUTPFA,,,,,,,
,2017,2018,2019,2020,2021,2022,2023,2024,2017,2018,2019,2020,2021,2022,2023,2024,2017,2018,2019,2020,2021,2022,2023,2024
,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total 
Jurisdictions,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales
Wicomico County,"1,057","1,142","1,220","1,340","1,788","1,554","1,215","1,248",884,979,"1,031",684,988,"1,332",687,725,173,163,189,656,800, 222 , 528 , 523 
Worcester County,"2,250","2,114","2,275","2,874","3,185","2,323","1,839","1,984","2,035","1,897","2,041","2,548","2,886","2,101","1,642","1,720",215,217,234,326,299, 222 , 197 , 264 
,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by Maryland Department of Planning, Planning Data Services, September 2025",,,,,,,,,,,,,,,,,,,,,,,,
Source: Refer to Sale Data Methodology ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Total Sales,,,,,,,,INPFA,,,,,,,,OUTPFA,,,,,,,
,2017,2018,2019,2020,2021,2022,2023,2024,2017,2018,2019,2020,2021,2022,2023,2024,2017,2018,2019,2020,2021,2022,2023,2024
,Median ,Median ,Median ,Median ,Median ,Median ,Median ,Median ,Median ,Median ,Median ,Median ,Median ,Median ,Median ,Median ,Median ,Median ,Median ,Median ,Median ,Median ,Median ,Median 
,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
MARYLAND,"$305,000","$310,890","$320,000","$340,475","$365,000","$383,000","$400,000","$415,000","$290,000","$297,000","$302,000","$325,000","$350,000","$365,000","$380,000","$399,900","$410,000 ","$419,044 ","$425,000 ","$440,000 ","$500,000 ","$531,125 ","$530,000 ","$557,000 "
,,,,,,,,,,,,,,,,,,,,,,,,
BALTIMORE REGION,"$293,000","$297,000","$300,000","$325,000","$338,000","$350,000","$365,000","$385,000","$274,900","$279,000","$279,000","$300,000","$317,000","$330,000","$345,000","$360,000","$465,000 ","$475,000 ","$490,000 ","$519,500 ","$585,000 ","$600,000 ","$620,000 ","$665,000 "
Anne Arundel County,"$345,000","$350,000","$365,000","$386,000","$416,000","$437,500","$455,000","$470,000","$325,000","$329,945","$345,000","$364,900","$392,250","$420,000","$435,000","$450,000","$525,000 ","$526,000 ","$535,000 ","$574,900 ","$637,443 ","$650,000 ","$665,000 ","$710,000 "
Baltimore County,"$246,000","$255,000","$250,000","$268,000","$290,000","$305,000","$330,000","$349,900","$235,000","$246,000","$242,000","$255,000","$280,000","$295,000","$317,000","$334,900","$470,000 ","$483,700 ","$475,000 ","$510,000 ","$577,500 ","$629,000 ","$635,000 ","$679,475 "
Carroll County,"$319,900","$329,000","$335,000","$353,250","$389,655","$415,120","$432,500","$458,815","$289,900","$305,500","$303,500","$323,000","$355,000","$390,000","$395,000","$410,000","$360,000 ","$374,900 ","$379,900 ","$405,000 ","$453,000 ","$460,000 ","$500,000 ","$550,000 "
Harford County,"$274,500","$275,000","$280,000","$300,000","$322,000","$340,000","$369,990","$381,740","$250,250","$255,000","$262,500","$279,480","$300,000","$321,050","$345,000","$360,000","$365,500 ","$390,000 ","$395,000 ","$410,000 ","$445,000 ","$450,000 ","$475,000 ","$511,000 "
